Sample Name,2024-4-11_toxgreen-1,2024-4-11_toxgreen-2,2024-4-11_toxgreen-3,2024-4-13_toxgreen-1,2024-4-13_toxgreen-2,2024-4-13_toxgreen-3,2024-4-18_toxgreen-1,2024-4-18_toxgreen-2,2024-4-18_toxgreen-3,2024-4-23_toxgreen-1,2024-4-23_toxgreen-2,2024-4-23_toxgreen-3,2024-4-26_toxgreen-1,2024-4-26_toxgreen-2,2024-4-26_toxgreen-3,2024-4-27_toxgreen-1,2024-4-27_toxgreen-2,2024-4-27_toxgreen-3,2024-4-29_toxgreen-1,2024-4-29_toxgreen-2,2024-4-29_toxgreen-3
1G2,8.199630839131054,9.253869089876474,20.84516541246628,14.582554128745375,21.339816315505132,17.574699746498773,19.498487528307187,21.625865745408863,20.906821825875664,24.24228716185651,25.061069392924995,14.385234777888357,16.73682364290099,25.66429886871876,26.61580285889678,15.585600657004242,27.343239091752462,24.4688455279607,18.873249695005374,23.6147781277882,34.75846246289991
2F12,26.691395712054522,34.12963225898055,39.10797955416726,32.93853634210198,36.117691060964965,33.60345759049162,35.09430219680315,32.42144238557284,39.671388663900686,33.090563647878405,31.937030670406223,40.70840495792997,34.52600192931685,28.987985617819874,43.120231518021576,41.008014843429194,24.628534059282465,38.124496220704756,29.84759372894627,36.86702234199458,62.19705384293233
2H11,116.27502484736618,135.32585545932133,142.67357660088032,,,,132.19498487528307,136.13237020017522,150.43390581351142,156.59549443589975,138.09825386772823,149.90047950782593,129.2598439007279,109.8132070507761,121.30579672016135,124.57074201937553,118.88583030432072,142.34635682022113,29.96230812651359,33.79158396911816,60.01748028915313
G2,-21.51071986369445,-11.55402527332103,-5.627928439585404,,,,,,,,,,,,,,,,,,
G3,-5.537413034218373,-3.1999858015050404,16.489777083629136,,,,,,,,,,,,,,,,,,
G83I,1.6825216527048135,12.01192673576601,17.4055800085191,23.37198188089598,10.55146906038316,6.537007023230686,21.38783741342546,17.271930839545764,21.581235433161975,9.997285804758889,11.829367592508822,22.744956120510267,15.136367622555468,16.114180478821364,17.048145224940807,18.770246224506863,15.129347710370627,21.147324076467992,8.521640962144248,11.799195178353576,36.69768204082376
Gpa,99.09307113445975,107.06907567797815,93.83785318756213,113.73062377924614,105.71001122054606,80.55936500020778,112.91964890821032,99.56526769922475,87.51508339256492,87.36089749389306,108.19686962815524,104.4422328779517,73.56835920371832,107.47171796895555,118.95992282732615,89.69020424923578,123.91830030568947,86.39149544507474,92.17028715016662,111.26204045958595,96.56767239024747
L4,38.45839840976857,58.83501348857022,56.38577310805055,,,,57.88055606063111,66.68264542043407,56.61603054696926,,,,,,,,,,57.52107649447369,60.70576667455708,70.89896028696808
L8,52.54685503336647,77.5184580434474,77.69948885418147,53.480447159539544,69.85413290113452,45.47230187424677,55.23249086731573,71.52255483742995,79.98247847000677,,,,,,,,,,32.08179318632896,78.22975655055629,77.61248383983686
LC2,42.77651568933693,39.23576600880307,55.139855175351414,,,,59.58146684959584,52.76294692298792,53.52662115476801,,,,,,,,,,,,
LC3,,,,51.95112828824337,48.16107717242239,54.51107509454349,,,,46.26345788473717,53.86320455984801,57.08404957929973,49.026571954748746,51.28913443830571,69.00815574848724,,,,,,
LC4,42.04174357518104,51.9238960670169,64.2499645037626,,,,47.367638064697424,55.118435624907015,50.30827974940906,,,,,,,,,,38.724303064513194,33.485678908938624,81.78044028478305
LC9,16.70275450802215,36.45108618486441,56.41239528609968,,,,62.88906887944856,56.10526141792155,50.06529249384266,,,,,,,,,,40.06263770279867,54.31999854330925,73.32435040696299
LD21,79.88250745420986,77.07120545222207,86.37299446258697,,,,85.11496437839892,83.3694232771873,85.62573350744664,,,,,,,,,,,,
LD23,37.697004117563544,64.58007951157178,54.916228879738746,,,,52.36623303634891,50.333074367323995,52.57946675041737,,,,,,,,,,52.10764944736794,67.67603197436225,79.68280558640907
LD50,,,,46.28683040352408,41.87341561733782,27.947471221377217,,,,48.923369221025965,46.991766941101965,56.400977110286796,47.38226782425677,50.29816714899587,57.050776111549595,,,,,,
LD8,,,,,,,,,,,,,46.1545207401561,35.02148557397176,47.184951328597734,72.82253281219107,72.06059039131294,73.82172676531869,,,
LD9,35.14127502484737,40.27935538832884,66.03897486866393,,,,54.35972031670991,60.518703406780496,59.199629733705805,,,,,,,,,,54.696917278173316,23.816893971121107,91.76605546350079
LWT11,,,,41.84432531272078,59.352532934380584,47.22187590907202,,,,147.9734008866371,44.37256853342984,44.67565366868723,50.47355958958168,46.58861703060598,58.44953082522143,,,,,,
LWT12,,,,,,,,,,,,,50.456020345523115,53.1000613873542,42.48881873191265,48.20768634130762,54.54047724058218,55.59442154730583,,,
LWT3,69.38272043163425,81.128425386909,78.5247763737044,,,,73.75902937335735,69.55882109856687,76.04013422153164,,,,,,,,,,,,
M17,,,,,,,,,,,,,23.406121196176443,44.33920898009296,31.579408927475228,21.932079144677807,28.3196203975484,54.89179200949006,,,
M18,,,,,,,,,,,,,40.423572744014734,41.58554766289573,45.14601420678769,49.781759007193585,43.32577981232795,52.14514927075571,,,
M27,,,,,,,,,,,,,66.52635271419803,67.98649478207489,79.82986933263176,67.73987498669261,77.59037610451233,77.92344075555488,76.6346801653344,54.83348203718204,85.58240317558587
M37,,,,,,,,,,,,,46.150135929141456,53.26229939489608,48.368850302551955,54.95566742201876,51.41970708560826,59.541009535686584,,,
M39,,,,,,,,,,,,,56.08173287731299,61.255809874594405,64.14540033324563,70.7922071996715,71.97846486091889,69.05388347299743,,,
M40,,,,,,,,,,,,,18.065421380338506,24.519863193896345,26.918354818907304,61.539397441941816,50.55282648700439,67.19237145073228,,,
NoTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC1,,,,36.213273490420974,33.769687902589034,45.430744296222414,37.420037357224324,36.8299254508488,34.8314792469048,,,,,,,,,,29.44336204228045,32.393160836868844,49.895300351426656
RC11,32.335297458469405,34.80051114581855,44.51228169814,,,,55.6044101360398,62.49235499280956,62.110517876919516,,,,33.60519161624134,37.9987722529159,41.58116285188108,45.97660943226925,40.62019983879062,46.30967408331178,,,
RC2,,,,38.78568757012842,39.51710094335702,41.79445621909155,,,,40.586266172079974,54.42866190174613,46.932959377544556,,,,,,,35.67071505307817,27.968462644986253,62.39370709590488
RC6,,,,,,,,,,,,,15.780934841708321,17.88564412873805,29.115145137244586,67.88131340014904,46.218423493985064,67.08743327300655,48.469564267375596,56.668912398259266,81.35982082703619
RC7,,,,,,,,,,,,,47.40419187933,37.095501183898975,43.164079628168025,67.89043845908171,57.62018463035907,65.23048378020775,,,
RC8,40.97153201760614,49.42141133039898,56.939514411472395,,,,72.50442170686149,70.84814123014364,73.20362993206274,59.151361621279285,57.49117886546639,57.26951958744232,,,,,,,,,
RD17,-19.19459037342042,36.37654408632685,47.483316768422554,,,,51.46866786782815,54.285336462965105,38.67464502372018,41.77146476069845,30.584456708585904,28.372387587080432,,,,,,,,,
RD2,29.129987221354536,39.6830186000284,44.50163282692035,,,,49.46030381671818,41.16402466237995,40.68796799841314,,,,16.65351223362273,26.725423134262915,29.7947908445146,41.8292701473697,30.600885130716467,40.74795066384804,,,
RD3,,,,,,,,,,,,,57.61203192142419,61.58028588967815,73.61659212487942,98.21757182181801,62.83059328091494,79.21919912399433,59.782588903658116,79.88492142974198,86.39632913927785
RD36,,,,,,,,,,,,,55.463474524248,61.67236692098571,63.04042795755503,46.108922786792995,60.462640487886475,59.0254437059906,,,
RD39,,,,55.56248181855962,45.26035822632257,41.34563437642854,,,,48.516239934859314,48.4890979824482,44.32733194607798,,,,,,,20.364536863380618,46.513956918370695,65.62209799887107
RD52,,,,67.67651581265844,25.961018991813155,13.614262560777956,62.9932062746913,61.76339322611039,64.14863546952742,,,,,,,,,,62.30630565013931,67.6705693840019,69.1563939620168
RD53,,,,,,,,,,,,,36.665789704463734,47.32088047005174,52.28448653863018,65.13923319088101,63.624473408057426,54.549602299514845,47.540923906116284,48.027094448187334,74.92488938254522
RWT3,74.16406360925743,78.23725685077382,88.25784466846514,,,,74.60204638246523,81.44040200340513,87.29193183133047,,,,35.819521178637196,55.196001052354646,52.95974743488555,61.73558620899426,67.9269386948124,75.46879990266603,,,
RWT30,,,,,,,,,,,,,61.93107077084977,61.41366307112164,70.60422695781811,63.08153240156342,59.0756315301203,70.06676501452405,,,
RWT33,,,,,,,,,,,,,24.68210120143822,24.305007454178725,26.92273962992195,68.15962769759555,55.694797195565215,51.570270557997354,,,
RWT34,54.26664773534006,57.807397415873915,71.83728524776373,,,,66.95538621749839,65.3933252888573,65.7106963981685,51.56066226363883,49.99547634126482,56.7628698091016,,,,,,,,,
RWT38,,,,,,,,,,,,,54.187494518986234,54.81890730509515,57.01569762343242,60.900643316654744,51.10033002296473,50.44788830927867,,,
RWT39,,,,54.62328055520924,55.27157877238914,55.184307858538006,,,,62.21387858499955,64.00524744413282,61.7162761241292,,,,,,,48.119958484313266,66.07003040841968,74.33492962362753
RWT40,,,,47.55849229106928,46.336699497153305,51.805676765158125,60.76169066234689,48.83547944526175,61.366679339471375,,,,,,,,,,57.286185108978685,64.04887197509059,69.69172781733099
YF3,,,,,,,,,,,,,32.7106901692537,38.76172936946418,48.184688239936854,66.51255456024819,45.65723236962572,61.84508691618633,,,
YF6,,,,,,,,,,,,,46.54915373147418,44.86100149083575,51.75392440585811,55.366295073989015,50.15132389396682,52.213587212750745,,,
YF7,,,,,,,,,,,,,5.472244146277296,-0.33324563711304045,25.96685082872928,54.85985430322571,47.43661886149681,55.89098596261767,38.380159871811216,44.29614523206905,66.31584697463538
YF9,,,,64.36853260191995,53.34330715205918,60.94003241491086,,,,50.76449832624627,56.857866642540486,56.31502759431829,,,,,,,38.53311240190098,63.841293541397334,63.28410932464175
